date,new_daily_cases,new_daily_deaths,total_cases,total_deaths
1/22/20,548,17,548,17
1/23/20,95,1,643,18
1/24/20,277,8,920,26
1/25/20,486,16,1406,42
1/26/20,669,14,2075,56
1/27/20,802,26,2877,82
1/28/20,2632,49,5509,131
1/29/20,578,2,6087,133
1/30/20,2054,38,8141,171
1/31/20,1661,42,9802,213
2/01/20,2089,46,11891,259
2/02/20,4739,102,16630,361
2/03/20,3086,64,19716,425
2/04/20,3991,66,23707,491
2/05/20,3733,72,27440,563
2/06/20,3147,70,30587,633
2/07/20,3523,85,34110,718
2/08/20,2704,87,36814,805
2/09/20,3015,100,39829,905
2/10/20,2525,107,42354,1012
2/11/20,2032,100,44386,1112
2/12/20,373,5,44759,1117
2/13/20,15136,252,59895,1369
2/14/20,6463,152,66358,1521
2/15/20,2055,142,68413,1663
2/16/20,2100,103,70513,1766
2/17/20,1921,98,72434,1864
2/18/20,1777,139,74211,2003
2/19/20,408,113,74619,2116
2/20/20,458,122,75077,2238
2/21/20,473,0,75550,2238
2/22/20,1451,205,77001,2443
2/23/20,21,2,77022,2445
2/24/20,219,150,77241,2595
2/25/20,513,70,77754,2665
2/26/20,412,52,78166,2717
2/27/20,434,29,78600,2746
2/28/20,328,44,78928,2790
2/29/20,428,47,79356,2837
3/01/20,576,35,79932,2872
3/03/20,204,42,80136,2914
3/04/20,250,69,80386,2983
3/05/20,151,32,80537,3015
3/06/20,153,29,80690,3044
3/07/20,80,28,80770,3072
3/08/20,53,28,80823,3100
3/09/20,37,23,80860,3123
3/10/20,27,16,80887,3139
3/11/20,34,22,80921,3161
3/13/20,11,11,80932,3172
3/14/20,45,21,80977,3193
3/15/20,26,10,81003,3203
3/16/20,30,14,81033,3217
3/17/20,25,13,81058,3230
3/18/20,44,11,81102,3241
3/19/20,54,8,81156,3249
3/20/20,94,4,81250,3253
3/21/20,55,6,81305,3259
3/22/20,130,15,81435,3274
3/23/20,63,0,81498,3274
3/24/20,93,7,81591,3281
3/25/20,70,4,81661,3285
3/26/20,121,6,81782,3291
3/27/20,115,5,81897,3296
3/28/20,102,3,81999,3299
3/29/20,123,5,82122,3304
3/30/20,76,4,82198,3308
3/31/20,81,1,82279,3309
4/01/20,82,7,82361,3316
4/02/20,103,10,82464,3326
4/03/20,47,0,82511,3326
4/04/20,32,4,82543,3330
4/05/20,59,3,82602,3333
4/06/20,63,2,82665,3335
4/07/20,53,0,82718,3335
4/08/20,91,2,82809,3337
4/09/20,74,2,82883,3339
4/10/20,58,1,82941,3340
4/11/20,73,3,83014,3343
4/12/20,120,0,83134,3343
